payload,variant,rep,elapsed_sec,instructions,cycles,l2i_misses,l2i_mpki,ipc,status
mm,base,1,79.550,169159282584,302267423190,9925055045,58.6728,0.5596,ok
mm,static,1,74.147,169794585597,281778850548,9425701443,55.5124,0.6026,ok
mm,pgo,1,74.026,173999929292,281322299911,8984873896,51.6372,0.6185,ok
dhrystone,base,1,79.723,169155826673,302973485473,9926190875,58.6808,0.5583,ok
dhrystone,static,1,73.895,169795289099,280823875746,9419802474,55.4774,0.6046,ok
dhrystone,pgo,1,74.238,174003441086,282124199559,8983523343,51.6284,0.6168,ok
median,base,1,79.804,169157081871,303282899834,9927571627,58.6885,0.5578,ok
median,static,1,74.119,169793153357,281679561939,9414343753,55.4460,0.6028,ok
median,pgo,1,74.176,174002842983,281892131144,8982868332,51.6248,0.6173,ok
qsort,base,1,79.942,169160100479,303804869017,9918188633,58.6320,0.5568,ok
qsort,static,1,74.108,169795367025,281634433389,9423786793,55.5008,0.6029,ok
qsort,pgo,1,74.136,174000209831,281738756028,8975814444,51.5851,0.6176,ok
mm,base,2,79.808,169156541541,303298630067,9918111783,58.6327,0.5577,ok
mm,static,2,74.070,169799036400,281491968313,9421571505,55.4866,0.6032,ok
mm,pgo,2,73.928,174000669306,280951066261,8980307104,51.6108,0.6193,ok
dhrystone,base,2,79.821,169157141338,303349251163,9922159077,58.6565,0.5576,ok
dhrystone,static,2,73.864,169794074707,280707633711,9423184960,55.4977,0.6049,ok
dhrystone,pgo,2,74.215,174001110866,282039090448,8983566936,51.6294,0.6169,ok
median,base,2,79.705,169157217282,302905891196,9915165314,58.6151,0.5584,ok
median,static,2,74.063,169810906630,281462375255,9415141696,55.4449,0.6033,ok
median,pgo,2,74.091,174001700356,281569757891,8983661874,51.6297,0.6180,ok
qsort,base,2,79.689,169156782388,302845683949,9918165498,58.6330,0.5586,ok
qsort,static,2,74.059,169794722512,281448286181,9417355005,55.4632,0.6033,ok
qsort,pgo,2,74.033,174001754669,281351314061,8976870718,51.5907,0.6185,ok
mm,base,3,79.742,169153581375,303046904691,9874949128,58.3786,0.5582,ok
mm,static,3,74.155,169795697339,281809885198,9414723922,55.4474,0.6025,ok
mm,pgo,3,74.088,174001423422,281557248877,8984966257,51.6373,0.6180,ok
dhrystone,base,3,79.880,169220098666,303569178688,9917241291,58.6056,0.5574,ok
dhrystone,static,3,74.154,169860625938,281808070417,9416752171,55.4381,0.6028,ok
dhrystone,pgo,3,73.948,174001028549,281024123500,8988483987,51.6576,0.6192,ok
median,base,3,79.831,169175173795,303383832211,9920956006,58.6431,0.5576,ok
median,static,3,74.192,169795309915,281953030124,9422272267,55.4919,0.6022,ok
median,pgo,3,73.993,174000031528,281193795165,8984806086,51.6368,0.6188,ok
qsort,base,3,79.714,169156682003,302938500847,9916222703,58.6215,0.5584,ok
qsort,static,3,73.973,169818720217,281119480397,9418621559,55.4628,0.6041,ok
qsort,pgo,3,74.196,174001178991,281965388274,8984525870,51.6349,0.6171,ok
