variant,rep,elapsed_sec,instructions,cycles,l2i_misses,l2i_mpki,ipc,ghz,status
static_top1k_callsite_b1,1,264.298,609519073039,1004525329520,33775542928,55.4134,0.6068,3.8007,ok
pgo_cond_cov25,1,264.694,624612300777,1006071845204,32215458868,51.5767,0.6208,3.8009,ok
static_top1k_mixed_b8,1,264.555,610066787896,1005543355593,33471153589,54.8647,0.6067,3.8009,ok
static_nested_top3000_callsite_b1,1,265.342,609926476130,1008536513398,33398207175,54.7578,0.6048,3.8009,ok
pgo_ret_cov90,1,265.549,614410182969,1009325885691,32996070887,53.7037,0.6087,3.8009,ok
static_top1k_callsite_b1,2,264.015,609511147711,1003485473563,33774060171,55.4117,0.6074,3.8009,ok
pgo_cond_cov25,2,264.994,624611423882,1007208249453,32240788087,51.6174,0.6201,3.8009,ok
static_top1k_mixed_b8,2,265.739,610308910289,1010051747306,33473308911,54.8465,0.6042,3.8009,ok
static_nested_top3000_callsite_b1,2,265.131,609866741790,1007728361313,33384949556,54.7414,0.6052,3.8009,ok
pgo_ret_cov90,2,265.323,614405686990,1008460805397,32987010652,53.6893,0.6093,3.8009,ok
static_top1k_callsite_b1,3,264.339,609513464856,1004722857184,33788969091,55.4360,0.6066,3.8009,ok
pgo_cond_cov25,3,265.101,624614845264,1007613751663,32233668563,51.6057,0.6199,3.8009,ok
static_top1k_mixed_b8,3,265.068,610076880990,1007488914561,33501013070,54.9128,0.6055,3.8009,ok
static_nested_top3000_callsite_b1,3,265.447,609859076270,1008931112412,33393737658,54.7565,0.6045,3.8009,ok
pgo_ret_cov90,3,265.740,614495253364,1010045676391,32982988944,53.6749,0.6084,3.8009,ok
