cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,2710273,0,53,53
1,performance,3400000,3400000,3129282,0,53,53
2,performance,3400000,3400000,3133140,0,53,53
3,performance,3400000,3400000,3127076,0,53,53
4,performance,3400000,3400000,3333462,0,53,53
5,performance,3400000,3400000,3130298,0,53,53
6,performance,3400000,3400000,3138323,0,53,53
7,performance,3400000,3400000,3125854,0,53,53
8,performance,3400000,3400000,3138074,0,53,53
9,performance,3400000,3400000,3099081,0,53,53
10,performance,3400000,3400000,3126234,0,53,53
11,performance,3400000,3400000,3096626,0,53,53
12,performance,3400000,3400000,3132741,0,53,53
13,performance,3400000,3400000,3144283,0,53,53
14,performance,3400000,3400000,3106779,0,53,53
15,performance,3400000,3400000,3087881,0,53,53
16,performance,3400000,3400000,3112030,0,53,53
17,performance,3400000,3400000,3130170,0,53,53
18,performance,3400000,3400000,3400000,0,53,53
19,performance,3400000,3400000,3388989,0,53,53
20,performance,3400000,3400000,3102181,0,53,53
21,performance,3400000,3400000,3297721,0,53,53
22,performance,3400000,3400000,3138929,0,53,53
23,performance,3400000,3400000,3400000,0,53,53
24,performance,3400000,3400000,3400000,0,53,53
25,performance,3400000,3400000,3135275,0,53,53
26,performance,3400000,3400000,3134760,0,53,53
27,performance,3400000,3400000,3096506,0,53,53
28,performance,3400000,3400000,3146577,0,53,53
29,performance,3400000,3400000,3400000,0,53,53
30,performance,3400000,3400000,3140894,0,53,53
31,performance,3400000,3400000,3400000,0,53,53
32,performance,3400000,3400000,3114611,0,53,53
33,performance,3400000,3400000,3118659,0,53,53
34,performance,3400000,3400000,3124322,0,53,53
35,performance,3400000,3400000,3327039,0,53,53
36,performance,3400000,3400000,3129056,0,53,53
37,performance,3400000,3400000,3400000,0,53,53
38,performance,3400000,3400000,3120384,0,53,53
39,performance,3400000,3400000,3400000,0,53,53
40,performance,3400000,3400000,3400000,0,53,53
41,performance,3400000,3400000,3148941,0,53,53
42,performance,3400000,3400000,3400000,0,53,53
43,performance,3400000,3400000,3400000,0,53,53
44,performance,3400000,3400000,3392195,0,53,53
45,performance,3400000,3400000,2606470,0,53,53
46,performance,3400000,3400000,3400000,0,53,53
47,performance,3400000,3400000,3400000,0,53,53
48,performance,3400000,3400000,3400000,0,53,53
49,performance,3400000,3400000,3400000,0,53,53
50,performance,3400000,3400000,3400000,0,53,53
51,performance,3400000,3400000,3130238,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3400000,0,53,53
54,performance,3400000,3400000,3174124,0,53,53
55,performance,3400000,3400000,3362657,0,53,53
56,performance,3400000,3400000,3199050,0,53,53
57,performance,3400000,3400000,3179472,0,53,53
58,performance,3400000,3400000,3168092,0,53,53
59,performance,3400000,3400000,3291572,0,53,53
60,performance,3400000,3400000,3171391,0,53,53
61,performance,3400000,3400000,3400000,0,53,53
62,performance,3400000,3400000,3400000,0,53,53
63,performance,3400000,3400000,3400000,0,53,53
64,performance,3400000,3400000,3185995,0,53,53
65,performance,3400000,3400000,3180772,0,53,53
66,performance,3400000,3400000,3169621,0,53,53
67,performance,3400000,3400000,3185604,0,53,53
68,performance,3400000,3400000,3181146,0,53,53
69,performance,3400000,3400000,3399965,0,53,53
70,performance,3400000,3400000,3150666,0,53,53
71,performance,3400000,3400000,3400000,0,53,53
72,performance,3400000,3400000,3400000,0,53,53
73,performance,3400000,3400000,3159845,0,53,53
74,performance,3400000,3400000,3400000,0,53,53
75,performance,3400000,3400000,3195094,0,53,53
76,performance,3400000,3400000,3400000,0,53,53
77,performance,3400000,3400000,3400000,0,53,53
78,performance,3400000,3400000,3181715,0,53,53
79,performance,3400000,3400000,3400000,0,53,53
80,performance,3400000,3400000,3148930,0,53,53
81,performance,3400000,3400000,3400000,0,53,53
82,performance,3400000,3400000,3361989,0,53,53
83,performance,3400000,3400000,3183719,0,53,53
84,performance,3400000,3400000,3160150,0,53,53
85,performance,3400000,3400000,3163898,0,53,53
