cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,2403606,0,53,53
1,performance,3400000,3400000,3400000,0,53,53
2,performance,3400000,3400000,3400000,0,53,53
3,performance,3400000,3400000,3400000,0,53,53
4,performance,3400000,3400000,3400000,0,53,53
5,performance,3400000,3400000,3400000,0,53,53
6,performance,3400000,3400000,3400000,0,53,53
7,performance,3400000,3400000,3400000,0,53,53
8,performance,3400000,3400000,3400000,0,53,53
9,performance,3400000,3400000,3400000,0,53,53
10,performance,3400000,3400000,3400000,0,53,53
11,performance,3400000,3400000,3400000,0,53,53
12,performance,3400000,3400000,3400000,0,53,53
13,performance,3400000,3400000,3149728,0,53,53
14,performance,3400000,3400000,3400000,0,53,53
15,performance,3400000,3400000,3260603,0,53,53
16,performance,3400000,3400000,3139510,0,53,53
17,performance,3400000,3400000,3129286,0,53,53
18,performance,3400000,3400000,3130340,0,53,53
19,performance,3400000,3400000,3123486,0,53,53
20,performance,3400000,3400000,3286637,0,53,53
21,performance,3400000,3400000,3367440,0,53,53
22,performance,3400000,3400000,3099242,0,53,53
23,performance,3400000,3400000,3130355,0,53,53
24,performance,3400000,3400000,3120578,0,53,53
25,performance,3400000,3400000,3136144,0,53,53
26,performance,3400000,3400000,3175376,0,53,53
27,performance,3400000,3400000,3111714,0,53,53
28,performance,3400000,3400000,3315900,0,53,53
29,performance,3400000,3400000,3123223,0,53,53
30,performance,3400000,3400000,3128246,0,53,53
31,performance,3400000,3400000,3400000,0,53,53
32,performance,3400000,3400000,3093258,0,53,53
33,performance,3400000,3400000,3126429,0,53,53
34,performance,3400000,3400000,3330593,0,53,53
35,performance,3400000,3400000,3150170,0,53,53
36,performance,3400000,3400000,3094950,0,53,53
37,performance,3400000,3400000,3138759,0,53,53
38,performance,3400000,3400000,3112255,0,53,53
39,performance,3400000,3400000,3129498,0,53,53
40,performance,3400000,3400000,3400000,0,53,53
41,performance,3400000,3400000,3130869,0,53,53
42,performance,3400000,3400000,3400000,0,53,53
43,performance,3400000,3400000,3165782,0,53,53
44,performance,3400000,3400000,3400000,0,53,53
45,performance,3400000,3400000,3155851,0,53,53
46,performance,3400000,3400000,3172984,0,53,53
47,performance,3400000,3400000,3177453,0,53,53
48,performance,3400000,3400000,3146193,0,53,53
49,performance,3400000,3400000,3029361,0,53,53
50,performance,3400000,3400000,3177574,0,53,53
51,performance,3400000,3400000,3158667,0,53,53
52,performance,3400000,3400000,3357360,0,53,53
53,performance,3400000,3400000,3177838,0,53,53
54,performance,3400000,3400000,3155252,0,53,53
55,performance,3400000,3400000,3317622,0,53,53
56,performance,3400000,3400000,3200441,0,53,53
57,performance,3400000,3400000,3182003,0,53,53
58,performance,3400000,3400000,3400000,0,53,53
59,performance,3400000,3400000,3285837,0,53,53
60,performance,3400000,3400000,3169371,0,53,53
61,performance,3400000,3400000,3159087,0,53,53
62,performance,3400000,3400000,3185617,0,53,53
63,performance,3400000,3400000,3150000,0,53,53
64,performance,3400000,3400000,3159053,0,53,53
65,performance,3400000,3400000,3177356,0,53,53
66,performance,3400000,3400000,3172352,0,53,53
67,performance,3400000,3400000,3203448,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3150163,0,53,53
70,performance,3400000,3400000,3189295,0,53,53
71,performance,3400000,3400000,3175657,0,53,53
72,performance,3400000,3400000,3165124,0,53,53
73,performance,3400000,3400000,3174403,0,53,53
74,performance,3400000,3400000,3188095,0,53,53
75,performance,3400000,3400000,3314313,0,53,53
76,performance,3400000,3400000,3190295,0,53,53
77,performance,3400000,3400000,3400000,0,53,53
78,performance,3400000,3400000,3400000,0,53,53
79,performance,3400000,3400000,3400000,0,53,53
80,performance,3400000,3400000,3400000,0,53,53
81,performance,3400000,3400000,3400000,0,53,53
82,performance,3400000,3400000,3400000,0,53,53
83,performance,3400000,3400000,3400000,0,53,53
84,performance,3400000,3400000,3366816,0,53,53
85,performance,3400000,3400000,3035754,0,53,53
