cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3186555,0,53,53
1,performance,3400000,3400000,3400000,0,53,53
2,performance,3400000,3400000,3400000,0,53,53
3,performance,3400000,3400000,3400000,0,53,53
4,performance,3400000,3400000,3400000,0,53,53
5,performance,3400000,3400000,3400000,0,53,53
6,performance,3400000,3400000,3400000,0,53,53
7,performance,3400000,3400000,3400000,0,53,53
8,performance,3400000,3400000,3400000,0,53,53
9,performance,3400000,3400000,3400000,0,53,53
10,performance,3400000,3400000,3400000,0,53,53
11,performance,3400000,3400000,3400000,0,53,53
12,performance,3400000,3400000,3400000,0,53,53
13,performance,3400000,3400000,3400000,0,53,53
14,performance,3400000,3400000,3400000,0,53,53
15,performance,3400000,3400000,3400000,0,53,53
16,performance,3400000,3400000,3400000,0,53,53
17,performance,3400000,3400000,3400000,0,53,53
18,performance,3400000,3400000,3400000,0,53,53
19,performance,3400000,3400000,3400000,0,53,53
20,performance,3400000,3400000,3400000,0,53,53
21,performance,3400000,3400000,3400000,0,53,53
22,performance,3400000,3400000,3400000,0,53,53
23,performance,3400000,3400000,3400000,0,53,53
24,performance,3400000,3400000,3400000,0,53,53
25,performance,3400000,3400000,3400000,0,53,53
26,performance,3400000,3400000,3400000,0,53,53
27,performance,3400000,3400000,3296016,0,53,53
28,performance,3400000,3400000,3400000,0,53,53
29,performance,3400000,3400000,3400000,0,53,53
30,performance,3400000,3400000,3400000,0,53,53
31,performance,3400000,3400000,3400000,0,53,53
32,performance,3400000,3400000,3400000,0,53,53
33,performance,3400000,3400000,3400000,0,53,53
34,performance,3400000,3400000,3400000,0,53,53
35,performance,3400000,3400000,3400000,0,53,53
36,performance,3400000,3400000,3400000,0,53,53
37,performance,3400000,3400000,3400000,0,53,53
38,performance,3400000,3400000,2986880,0,53,53
39,performance,3400000,3400000,3134588,0,53,53
40,performance,3400000,3400000,3142075,0,53,53
41,performance,3400000,3400000,3158067,0,53,53
42,performance,3400000,3400000,3125954,0,53,53
43,performance,3400000,3400000,3400000,0,53,53
44,performance,3400000,3400000,3400000,0,53,53
45,performance,3400000,3400000,3300531,0,53,53
46,performance,3400000,3400000,3168691,0,53,53
47,performance,3400000,3400000,3400000,0,53,53
48,performance,3400000,3400000,3163478,0,53,53
49,performance,3400000,3400000,3400000,0,53,53
50,performance,3400000,3400000,3400000,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3219727,0,53,53
53,performance,3400000,3400000,3148983,0,53,53
54,performance,3400000,3400000,3400000,0,53,53
55,performance,3400000,3400000,3400000,0,53,53
56,performance,3400000,3400000,3194534,0,53,53
57,performance,3400000,3400000,3165124,0,53,53
58,performance,3400000,3400000,3400000,0,53,53
59,performance,3400000,3400000,3400000,0,53,53
60,performance,3400000,3400000,3173909,0,53,53
61,performance,3400000,3400000,3161908,0,53,53
62,performance,3400000,3400000,3400000,0,53,53
63,performance,3400000,3400000,2675471,0,53,53
64,performance,3400000,3400000,3175954,0,53,53
65,performance,3400000,3400000,3170598,0,53,53
66,performance,3400000,3400000,3169170,0,53,53
67,performance,3400000,3400000,3182642,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3177406,0,53,53
70,performance,3400000,3400000,3156822,0,53,53
71,performance,3400000,3400000,3166200,0,53,53
72,performance,3400000,3400000,3181884,0,53,53
73,performance,3400000,3400000,3164030,0,53,53
74,performance,3400000,3400000,3171391,0,53,53
75,performance,3400000,3400000,3169799,0,53,53
76,performance,3400000,3400000,3186512,0,53,53
77,performance,3400000,3400000,3118354,0,53,53
78,performance,3400000,3400000,3204176,0,53,53
79,performance,3400000,3400000,3165650,0,53,53
80,performance,3400000,3400000,3168475,0,53,53
81,performance,3400000,3400000,3327754,0,53,53
82,performance,3400000,3400000,3400000,0,53,53
83,performance,3400000,3400000,3162395,0,53,53
84,performance,3400000,3400000,3162892,0,53,53
85,performance,3400000,3400000,3170343,0,53,53
