cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3400000,0,53,53
1,performance,3400000,3400000,3400000,0,53,53
2,performance,3400000,3400000,3148303,0,53,53
3,performance,3400000,3400000,3300874,0,53,53
4,performance,3400000,3400000,3138455,0,53,53
5,performance,3400000,3400000,3150123,0,53,53
6,performance,3400000,3400000,3129437,0,53,53
7,performance,3400000,3400000,3123554,0,53,53
8,performance,3400000,3400000,3139828,0,53,53
9,performance,3400000,3400000,3127996,0,53,53
10,performance,3400000,3400000,3119810,0,53,53
11,performance,3400000,3400000,3142599,0,53,53
12,performance,3400000,3400000,3206998,0,53,53
13,performance,3400000,3400000,3140066,0,53,53
14,performance,3400000,3400000,3135169,0,53,53
15,performance,3400000,3400000,3124279,0,53,53
16,performance,3400000,3400000,3400000,0,53,53
17,performance,3400000,3400000,3400000,0,53,53
18,performance,3400000,3400000,3400000,0,53,53
19,performance,3400000,3400000,3400000,0,53,53
20,performance,3400000,3400000,3108000,0,53,53
21,performance,3400000,3400000,3111714,0,53,53
22,performance,3400000,3400000,3400000,0,53,53
23,performance,3400000,3400000,3144162,0,53,53
24,performance,3400000,3400000,3141513,0,53,53
25,performance,3400000,3400000,3152361,0,53,53
26,performance,3400000,3400000,3400000,0,53,53
27,performance,3400000,3400000,3400000,0,53,53
28,performance,3400000,3400000,3400000,0,53,53
29,performance,3400000,3400000,3126142,0,53,53
30,performance,3400000,3400000,3156329,0,53,53
31,performance,3400000,3400000,3400000,0,53,53
32,performance,3400000,3400000,3137070,0,53,53
33,performance,3400000,3400000,3400000,0,53,53
34,performance,3400000,3400000,3400000,0,53,53
35,performance,3400000,3400000,3400000,0,53,53
36,performance,3400000,3400000,3400000,0,53,53
37,performance,3400000,3400000,3400000,0,53,53
38,performance,3400000,3400000,3400000,0,53,53
39,performance,3400000,3400000,3400000,0,53,53
40,performance,3400000,3400000,3245134,0,53,53
41,performance,3400000,3400000,3153902,0,53,53
42,performance,3400000,3400000,3400000,0,53,53
43,performance,3400000,3400000,3179307,0,53,53
44,performance,3400000,3400000,3400000,0,53,53
45,performance,3400000,3400000,3309438,0,53,53
46,performance,3400000,3400000,3147147,0,53,53
47,performance,3400000,3400000,3400000,0,53,53
48,performance,3400000,3400000,3400000,0,53,53
49,performance,3400000,3400000,3193441,0,53,53
50,performance,3400000,3400000,3369029,0,53,53
51,performance,3400000,3400000,2966032,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3172493,0,53,53
54,performance,3400000,3400000,3131591,0,53,53
55,performance,3400000,3400000,3400000,0,53,53
56,performance,3400000,3400000,3036563,0,53,53
57,performance,3400000,3400000,3173838,0,53,53
58,performance,3400000,3400000,3186193,0,53,53
59,performance,3400000,3400000,3284373,0,53,53
60,performance,3400000,3400000,3318787,0,53,53
61,performance,3400000,3400000,3161195,0,53,53
62,performance,3400000,3400000,3169831,0,53,53
63,performance,3400000,3400000,3336720,0,53,53
64,performance,3400000,3400000,3173961,0,53,53
65,performance,3400000,3400000,3168995,0,53,53
66,performance,3400000,3400000,3162817,0,53,53
67,performance,3400000,3400000,3189982,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3151921,0,53,53
70,performance,3400000,3400000,3183303,0,53,53
71,performance,3400000,3400000,3183762,0,53,53
72,performance,3400000,3400000,3161321,0,53,53
73,performance,3400000,3400000,3162065,0,53,53
74,performance,3400000,3400000,3181765,0,53,53
75,performance,3400000,3400000,3190988,0,53,53
76,performance,3400000,3400000,3400000,0,53,53
77,performance,3400000,3400000,3131583,0,53,53
78,performance,3400000,3400000,3400000,0,53,53
79,performance,3400000,3400000,3400000,0,53,53
80,performance,3400000,3400000,3162259,0,53,53
81,performance,3400000,3400000,3193275,0,53,53
82,performance,3400000,3400000,3400000,0,53,53
83,performance,3400000,3400000,3400000,0,53,53
84,performance,3400000,3400000,3157070,0,53,53
85,performance,3400000,3400000,3189951,0,53,53
