cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3400000,0,53,53
8,performance,3400000,3400000,3145929,0,53,53
9,performance,3400000,3400000,3115704,0,53,53
10,performance,3400000,3400000,3105116,0,53,53
11,performance,3400000,3400000,3112925,0,53,53
12,performance,3400000,3400000,3130545,0,53,53
13,performance,3400000,3400000,3361012,0,53,53
14,performance,3400000,3400000,3115148,0,53,53
15,performance,3400000,3400000,3131743,0,53,53
16,performance,3400000,3400000,3025687,0,53,53
17,performance,3400000,3400000,3226777,0,53,53
18,performance,3400000,3400000,3175820,0,53,53
19,performance,3400000,3400000,3118306,0,53,53
20,performance,3400000,3400000,3114147,0,53,53
21,performance,3400000,3400000,3107962,0,53,53
22,performance,3400000,3400000,3050455,0,53,53
23,performance,3400000,3400000,3211878,0,53,53
24,performance,3400000,3400000,3044011,0,53,53
25,performance,3400000,3400000,3062052,0,53,53
26,performance,3400000,3400000,3059156,0,53,53
27,performance,3400000,3400000,3107569,0,53,53
28,performance,3400000,3400000,3129327,0,53,53
29,performance,3400000,3400000,3146059,0,53,53
30,performance,3400000,3400000,3149414,0,53,53
31,performance,3400000,3400000,3126105,0,53,53
32,performance,3400000,3400000,3190834,0,53,53
33,performance,3400000,3400000,3170164,0,53,53
34,performance,3400000,3400000,3400000,0,53,53
35,performance,3400000,3400000,3155358,0,53,53
36,performance,3400000,3400000,3123993,0,53,53
37,performance,3400000,3400000,3156119,0,53,53
38,performance,3400000,3400000,3400000,0,53,53
39,performance,3400000,3400000,3400000,0,53,53
48,performance,3400000,3400000,3161626,0,53,53
49,performance,3400000,3400000,3209146,0,53,53
50,performance,3400000,3400000,3184661,0,53,53
51,performance,3400000,3400000,3206857,0,53,53
52,performance,3400000,3400000,3400000,0,53,53
53,performance,3400000,3400000,3400000,0,53,53
54,performance,3400000,3400000,3400000,0,53,53
55,performance,3400000,3400000,3151044,0,53,53
56,performance,3400000,3400000,3175391,0,53,53
57,performance,3400000,3400000,3400000,0,53,53
58,performance,3400000,3400000,3400000,0,53,53
59,performance,3400000,3400000,3400000,0,53,53
60,performance,3400000,3400000,3188700,0,53,53
61,performance,3400000,3400000,3380623,0,53,53
62,performance,3400000,3400000,3400000,0,53,53
63,performance,3400000,3400000,3400000,0,53,53
64,performance,3400000,3400000,3400000,0,53,53
65,performance,3400000,3400000,3400000,0,53,53
66,performance,3400000,3400000,3400000,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3400000,0,53,53
69,performance,3400000,3400000,3400000,0,53,53
70,performance,3400000,3400000,3184052,0,53,53
71,performance,3400000,3400000,3400000,0,53,53
72,performance,3400000,3400000,3166234,0,53,53
73,performance,3400000,3400000,3400000,0,53,53
74,performance,3400000,3400000,3400000,0,53,53
75,performance,3400000,3400000,3185575,0,53,53
76,performance,3400000,3400000,3158340,0,53,53
77,performance,3400000,3400000,3171574,0,53,53
78,performance,3400000,3400000,3212723,0,53,53
79,performance,3400000,3400000,3191571,0,53,53
