cpu,governor,min_khz,max_khz,current_khz,no_turbo,min_perf_pct,max_perf_pct
0,performance,3400000,3400000,3145872,0,53,53
8,performance,3400000,3400000,3150039,0,53,53
9,performance,3400000,3400000,3094322,0,53,53
10,performance,3400000,3400000,3106283,0,53,53
11,performance,3400000,3400000,3134665,0,53,53
12,performance,3400000,3400000,3144017,0,53,53
13,performance,3400000,3400000,3140542,0,53,53
14,performance,3400000,3400000,3127901,0,53,53
15,performance,3400000,3400000,3122521,0,53,53
16,performance,3400000,3400000,3106637,0,53,53
17,performance,3400000,3400000,3130861,0,53,53
18,performance,3400000,3400000,3163893,0,53,53
19,performance,3400000,3400000,3197821,0,53,53
20,performance,3400000,3400000,3112378,0,53,53
21,performance,3400000,3400000,3092288,0,53,53
22,performance,3400000,3400000,3361729,0,53,53
23,performance,3400000,3400000,3150469,0,53,53
24,performance,3400000,3400000,3150329,0,53,53
25,performance,3400000,3400000,3151366,0,53,53
26,performance,3400000,3400000,3183929,0,53,53
27,performance,3400000,3400000,3400000,0,53,53
28,performance,3400000,3400000,3133581,0,53,53
29,performance,3400000,3400000,3400000,0,53,53
30,performance,3400000,3400000,3400000,0,53,53
31,performance,3400000,3400000,3119778,0,53,53
32,performance,3400000,3400000,3109206,0,53,53
33,performance,3400000,3400000,3125716,0,53,53
34,performance,3400000,3400000,3130600,0,53,53
35,performance,3400000,3400000,3120124,0,53,53
36,performance,3400000,3400000,3135169,0,53,53
37,performance,3400000,3400000,3123813,0,53,53
38,performance,3400000,3400000,3131007,0,53,53
39,performance,3400000,3400000,3231881,0,53,53
48,performance,3400000,3400000,3150807,0,53,53
49,performance,3400000,3400000,3400000,0,53,53
50,performance,3400000,3400000,3400000,0,53,53
51,performance,3400000,3400000,3400000,0,53,53
52,performance,3400000,3400000,3344270,0,53,53
53,performance,3400000,3400000,3400000,0,53,53
54,performance,3400000,3400000,3400000,0,53,53
55,performance,3400000,3400000,2911142,0,53,53
56,performance,3400000,3400000,3400000,0,53,53
57,performance,3400000,3400000,3400000,0,53,53
58,performance,3400000,3400000,3170000,0,53,53
59,performance,3400000,3400000,3157685,0,53,53
60,performance,3400000,3400000,3200903,0,53,53
61,performance,3400000,3400000,3400000,0,53,53
62,performance,3400000,3400000,3400000,0,53,53
63,performance,3400000,3400000,3400000,0,53,53
64,performance,3400000,3400000,3211335,0,53,53
65,performance,3400000,3400000,3175900,0,53,53
66,performance,3400000,3400000,3400000,0,53,53
67,performance,3400000,3400000,3400000,0,53,53
68,performance,3400000,3400000,3184543,0,53,53
69,performance,3400000,3400000,3161900,0,53,53
70,performance,3400000,3400000,3400000,0,53,53
71,performance,3400000,3400000,3184516,0,53,53
72,performance,3400000,3400000,3170017,0,53,53
73,performance,3400000,3400000,3400000,0,53,53
74,performance,3400000,3400000,3400000,0,53,53
75,performance,3400000,3400000,3400000,0,53,53
76,performance,3400000,3400000,3400000,0,53,53
77,performance,3400000,3400000,3400000,0,53,53
78,performance,3400000,3400000,3257000,0,53,53
79,performance,3400000,3400000,3276131,0,53,53
